timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1538518157333,2405,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,733,0,36
1538518157739,2363,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,662,0,46
1538518157839,2341,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,745,0,50
1538518157539,2763,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,983,0,30
1538518158102,3119,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,760,0,43
1538518158866,2457,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,574,0,34
1538518158696,2639,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,630,0,32
1538518159568,1828,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,596,0,37
1538518158993,2454,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,704,0,35
1538518159466,2184,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,743,0,40
1538518159739,2173,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,604,0,41
1538518160181,2394,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,564,0,31
1538518160303,2443,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,587,0,43
1538518160102,2667,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,668,0,38
1538518161397,2160,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,885,0,46
1538518161324,2371,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,905,0,55
1538518161448,2256,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,687,0,33
1538518161336,2388,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,790,0,32
1538518161222,2509,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,742,0,38
1538518161651,2264,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,759,0,37
1538518161912,2740,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,747,0,53
1538518162576,2521,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,640,0,40
1538518162769,2382,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,570,0,36
1538518162747,2688,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,567,0,46
1538518163705,1870,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,570,0,43
1538518163558,2244,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,638,0,42
1538518163732,2296,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,833,0,34
1538518163916,2189,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-1,text,true,,130322,292,10,10,738,0,44
1538518163696,2430,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-3,text,true,,130322,292,10,10,831,0,36
1538518163724,3240,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-4,text,true,,130322,292,10,10,754,0,30
1538518164653,2414,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-7,text,true,,130322,292,10,10,545,0,37
1538518165151,2226,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-2,text,true,,130322,292,10,10,535,0,37
1538518165098,2353,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-8,text,true,,130322,292,10,10,637,0,47
1538518165436,2306,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-9,text,true,,130322,292,10,10,738,0,35
1538518165576,2349,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-6,text,true,,130322,292,10,10,591,0,32
1538518166029,1918,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-10,text,true,,130322,292,10,10,590,0,48
1538518165803,2166,https://uat-ganheonline.dotz.com.br/,200,OK,Thread Group 1-5,text,true,,130322,292,10,10,757,0,44
